show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,United States,2021-11-26,2016,TV-G,23,Animation,Join Mickey and the gang as they duck the halls!,Disney
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,United States,2021-11-26,2016,TV-G,23,Family,Join Mickey and the gang as they duck the halls!,Disney
s2,Movie,Ernest Saves Christmas,United States,2021-11-26,1988,PG,91,Comedy,Santa Claus passes his magic bag to a new St. Nic.,Disney
s3,Movie,Ice Age: A Mammoth Christmas,United States,2021-11-26,2011,TV-G,23,Animation,Sid the Sloth is on Santa's naughty list.,Disney
s3,Movie,Ice Age: A Mammoth Christmas,United States,2021-11-26,2011,TV-G,23,Comedy,Sid the Sloth is on Santa's naughty list.,Disney
s3,Movie,Ice Age: A Mammoth Christmas,United States,2021-11-26,2011,TV-G,23,Family,Sid the Sloth is on Santa's naughty list.,Disney
s4,Movie,The Queen Family Singalong,United States,2021-11-26,2021,TV-PG,41,Musical,"This is real life, not just fantasy!",Disney
s5,TV Show,The Beatles: Get Back,United States,2021-11-25,2021,TV-G,450,Docuseries,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,Disney
s5,TV Show,The Beatles: Get Back,United States,2021-11-25,2021,TV-G,450,Historical,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,Disney
s5,TV Show,The Beatles: Get Back,United States,2021-11-25,2021,TV-G,450,Music,A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,Disney
s6,Movie,Becoming Cousteau,United States,2021-11-24,2021,PG-13,94,Biographical,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,Disney
s6,Movie,Becoming Cousteau,United States,2021-11-24,2021,PG-13,94,Documentary,An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,Disney
s7,TV Show,Hawkeye,United States,2021-11-24,2021,TV-14,450,Action-Adventure,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,Disney
s7,TV Show,Hawkeye,United States,2021-11-24,2021,TV-14,450,Superhero,Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,Disney
s8,TV Show,Port Protection Alaska,United States,2021-11-24,2015,TV-14,900,Docuseries,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,Disney
s8,TV Show,Port Protection Alaska,United States,2021-11-24,2015,TV-14,900,Reality,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,Disney
s8,TV Show,Port Protection Alaska,United States,2021-11-24,2015,TV-14,900,Survival,Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,Disney
s9,TV Show,Secrets of the Zoo: Tampa,United States,2021-11-24,2019,TV-PG,900,Animals & Nature,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,Disney
s9,TV Show,Secrets of the Zoo: Tampa,United States,2021-11-24,2019,TV-PG,900,Docuseries,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,Disney
s9,TV Show,Secrets of the Zoo: Tampa,United States,2021-11-24,2019,TV-PG,900,Family,A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,Disney
s10,Movie,A Muppets Christmas: Letters To Santa,United States,2021-11-19,2008,G,45,Comedy,Celebrate the holiday season with all your favorite Muppets.,Disney
s10,Movie,A Muppets Christmas: Letters To Santa,United States,2021-11-19,2008,G,45,Family,Celebrate the holiday season with all your favorite Muppets.,Disney
s10,Movie,A Muppets Christmas: Letters To Santa,United States,2021-11-19,2008,G,45,Musical,Celebrate the holiday season with all your favorite Muppets.,Disney
s11,Movie,Adventure Thru the Walt Disney Archives,United States,2021-11-19,2020,TV-PG,59,Documentary,Explore the treasures and rich history of the Walt Disney Archives.,Disney
s12,Movie,Puppy for Hanukkah,United States,2021-11-19,2020,TV-G,4,Comedy,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",Disney
s12,Movie,Puppy for Hanukkah,United States,2021-11-19,2020,TV-G,4,Family,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",Disney
s12,Movie,Puppy for Hanukkah,United States,2021-11-19,2020,TV-G,4,Music,"Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",Disney
s13,Movie,The Pixar Story,United States,2021-11-19,2007,G,91,Documentary,A groundbreaking company forever changes the face of filmmaking.,Disney
